# Darktide Penance Export
# Mod Version: 2.4.9
# Account: John Darktide
# Account ID: 00000000-0000-0000-0000-000000000000
# Platform: Steam
# Number of Characters: 5
# Account Level: 150
# Account True Level: 601
# Account Prestige: 37
#
# All Characters:
#   1. Bonk (Ogryn) - Level 30 (True: 103, Prestige: 6)
#   2. Dickot (Zealot) - Level 30 (True: 132, Prestige: 8)
#   3. JudgeSomething (Arbitrator) - Level 30 (True: 145, Prestige: 9)
#   4. Rudge (Veteran) - Level 30 (True: 45, Prestige: 2)
#   5. Montov (Psyker) - Level 30 (True: 176, Prestige: 12)
#
# Export Character: Rudge
# Export Archetype: Veteran
# Export Character Level: 30
# Export Character True Level: 45
# Export Additional Levels: +15
# Export Character Prestige: 2
#
# Export Date: 2026-01-26 16:12:01
# Export Timezone: -0500
# Total Penances: 1028
# Completed Penances: 884
# Completion Rate: 86.0%

Export_Account,Export_Platform,Export_Character,Export_Archetype,Export_Mod_Date,Achievement_ID,Category,Icon,Title,Description,Status,Progress,Goal,Progress_Percentage,Completion_Time,Score,Stats_Detail,Mastery_Level,Mastery_XP,Mastery_XP_Next_Level,Mastery_Progress_Percent
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,veteran_kills_with_improved_tag,loc_class_abilities_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_20,Focus Soldier!,Kill 500 enemies tagged by Focus Target!,Completed,505,500,101%,2026-01-07 19:17:00,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,veteran_smoke_grenade_engulfed,loc_class_abilities_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_14,Smoke Screen,Engulf 2000 enemies in smoke using the Smoke Grenade.,Completed,2037,2000,101%,2026-01-09 01:52:07,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,veteran_krak_grenade_kills,loc_class_abilities_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_13,Armourbane,Kill 500 armoured enemies using krak grenades.,Completed,767,500,153%,2026-01-07 18:15:28,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,veteran_enemies_killed_with_max_focus_fire,loc_class_abilities_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_19,Killshot Ready,Kill 2500 enemies while at 10 stacks of Marksman's focus or more.,In Progress,0,2500,0%,,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,veteran_voice_of_command_toughness_given,loc_class_abilities_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_17,Stand up and Fight!,Restore 7500 Toughness to yourself using Voice of Command.,Completed,23322,7500,310%,2026-01-06 20:25:01,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,veteran_infiltrate_supress,loc_class_abilities_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_18,Unseen Predator,Suppress 750 enemies using Infiltrate.,Completed,841,750,112%,2026-01-09 01:52:07,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,group_veteran_2_rank_1_difficulty_1,loc_class_progression_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_10,First Steps (1),Complete the following Penances as the Veteran.,Completed,2,2,100%,2023-11-11 02:49:19,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,group_veteran_2_rank_2_difficulty_2,loc_class_progression_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_10,First Steps (2),Complete the following Penances as the Veteran.,Completed,2,2,100%,2026-01-05 18:48:19,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,group_veteran_2_rank_4_difficulty_3,loc_class_progression_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_11,Promotion Material (1),Complete the following Penances as the Veteran.,Completed,2,2,100%,2026-01-06 13:10:17,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,group_veteran_2_rank_5_difficulty_4,loc_class_progression_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_11,Promotion Material (2),Complete the following Penances as the Veteran.,Completed,2,2,100%,2026-01-06 20:25:41,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,group_class_veteran_2_3,loc_class_progression_title,content/ui/textures/icons/achievements/achievement_icon_0096,For The Emperor (3),Complete the following Penances as the Veteran.,In Progress,1,3,33%,,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,veteran_2_no_missed_shots_empty_ammo,loc_class_progression_title,content/ui/textures/icons/achievements/achievement_icon_0019,Make Every Shot Count,"Complete a Mission on Heresy Threat or higher with no Ammo remaining, and 90 accuracy.",In Progress,53,90,58%,,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,veteran_2_no_melee_damage_taken,loc_class_progression_title,content/ui/textures/icons/achievements/achievement_icon_0016,On Overwatch,Complete a full Mission on Malice Threat or higher without taking any melee damage.,In Progress,0,1,0%,,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,veteran_2_kills_with_last_round_in_mag,loc_class_progression_title,content/ui/textures/icons/achievements/achievement_icon_0017,One In the Chamber,Kill 8 enemies with the last round in your clip during a single Mission on Malice Threat or higher.,Completed,80,8,1000%,2023-11-14 13:53:40,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,group_class_veteran_2_2_rework,loc_class_progression_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_12,On Target (2),Complete the following Penances as the Veteran.,Completed,6,6,100%,2026-01-16 21:21:21,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,missions_veteran_2_3,loc_class_progression_title,content/ui/textures/icons/achievements/achievement_icon_0012,Through The Mud (3),Complete 50 Missions as a Veteran.,In Progress,31,50,62%,,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,group_class_veteran_2_1_rework,loc_class_progression_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_12,On Target (1),Complete the following Penances as the Veteran.,Completed,5,5,100%,2026-01-16 21:21:21,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,rank_veteran_2_5,loc_class_progression_title,content/ui/textures/icons/achievements/achievement_icon_0011,I Love the Militarum! (5),Reach Trust Level 25 as a Veteran.,Completed,30,25,120%,2026-01-06 20:25:41,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,missions_veteran_2_objective_2,loc_class_progression_title,content/ui/textures/icons/achievements/achievement_icon_0013,Vantage Point (2),"As a Veteran, complete a Mission of each type on Malice Threat or higher.",Completed,7,7,100%,2026-01-16 02:13:42,5,loc_mission_type_03_name: 3/3; loc_mission_type_04_name: 3/3; loc_mission_type_05_name: 3/3; loc_mission_type_06_name: 3/3; loc_mission_type_07_name: 3/3; loc_mission_type_01_name: 3/3; loc_mission_type_02_name: 3/3,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,missions_veteran_2_2,loc_class_progression_title,content/ui/textures/icons/achievements/achievement_icon_0012,Through The Mud (2),Complete 25 Missions as a Veteran.,Completed,31,25,124%,2026-01-10 23:44:15,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,veteran_2_medium_2,loc_class_progression_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_06,Fire Down Range,"On Malice Threat or higher, kill 100 ranged enemies that are over 30 meters away.",Completed,104,100,104%,2026-01-16 20:21:02,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,rank_veteran_2_4,loc_class_progression_title,content/ui/textures/icons/achievements/achievement_icon_0011,I Love the Militarum! (4),Reach Trust Level 20 as a Veteran.,Completed,30,20,150%,2026-01-06 13:10:17,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,missions_veteran_2_objective_1,loc_class_progression_title,content/ui/textures/icons/achievements/achievement_icon_0013,Vantage Point,"As a Veteran, complete at least one Mission of each type.",Completed,7,7,100%,2026-01-16 02:13:42,5,loc_mission_type_03_name: 1/1; loc_mission_type_04_name: 1/1; loc_mission_type_05_name: 1/1; loc_mission_type_06_name: 1/1; loc_mission_type_07_name: 1/1; loc_mission_type_01_name: 1/1; loc_mission_type_02_name: 1/1,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,veteran_2_easy_1,loc_class_progression_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_03,Stay Accurate,Kill 350 enemies with ranged weakspot hits.,Completed,519,350,148%,2026-01-11 00:29:15,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,group_class_veteran_2_2,loc_class_progression_title,content/ui/textures/icons/achievements/achievement_icon_0096,For The Emperor (2),Complete the following Penances as the Veteran.,In Progress,2,3,66%,,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,group_class_veteran_2_1,loc_class_progression_title,content/ui/textures/icons/achievements/achievement_icon_0096,For The Emperor (1),Complete the following Penances as the Veteran.,Completed,2,2,100%,2026-01-12 22:04:12,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,group_mission_class_veteran_meta_numeric_achievement_completion_1,loc_class_progression_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement,Veteran Master of War,Complete 5 out of the following Penances.,Completed,38,5,760%,2026-01-05 18:47:33,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,group_mission_class_veteran_meta_numeric_achievement_completion_4,loc_class_progression_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement,Veteran Master of War,Complete 35 out of the following Penances.,Completed,38,35,108%,2026-01-16 02:13:42,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,rank_veteran_2_2,loc_class_progression_title,content/ui/textures/icons/achievements/achievement_icon_0011,I Love the Militarum! (2),Reach Trust Level 10 as a Veteran.,Completed,30,10,300%,2026-01-05 18:48:19,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,rank_veteran_2_3,loc_class_progression_title,content/ui/textures/icons/achievements/achievement_icon_0011,I Love the Militarum! (3),Reach Trust Level 15 as a Veteran.,Completed,30,15,200%,2026-01-05 22:56:59,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,missions_veteran_2_easy_difficulty_1,loc_class_progression_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_02,Prove Your Worth (1),Complete 1 Missions on Sedition Threat or higher.,Completed,31,1,3100%,2023-11-11 01:29:48,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,missions_veteran_2_easy_difficulty_2,loc_class_progression_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_02,Prove Your Worth (2),Complete 1 Missions on Uprising Threat or higher.,Completed,30,1,3000%,2023-11-11 02:08:55,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,missions_veteran_2_easy_difficulty_3,loc_class_progression_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_02,Prove Your Worth (3),Complete 1 Missions on Malice Threat or higher.,Completed,27,1,2700%,2026-01-05 18:47:33,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,missions_veteran_2_easy_difficulty_4,loc_class_progression_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_02,Prove Your Worth (4),Complete 1 Missions on Heresy Threat or higher.,Completed,26,1,2600%,2026-01-05 19:14:41,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,missions_veteran_2_easy_difficulty_5,loc_class_progression_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_02,Prove Your Worth (5),Complete 1 Missions on Damnation Threat or higher.,Completed,22,1,2200%,2026-01-05 22:56:03,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,missions_veteran_2_medium_difficulty_1,loc_class_progression_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_09,Fight the Good Fight (1),Complete 5 Missions on Sedition Threat or higher.,Completed,31,5,620%,2026-01-05 18:47:33,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,missions_veteran_2_medium_difficulty_5,loc_class_progression_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_09,Fight the Good Fight (5),Complete 5 Missions on Damnation Threat or higher.,Completed,22,5,440%,2026-01-06 21:04:36,15,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,missions_veteran_2_1,loc_class_progression_title,content/ui/textures/icons/achievements/achievement_icon_0012,Through The Mud (1),Complete 5 Missions as a Veteran.,Completed,31,5,620%,2026-01-05 18:47:33,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,missions_veteran_2_objective_3,loc_class_progression_title,content/ui/textures/icons/achievements/achievement_icon_0013,Vantage Point (3),"As a Veteran, complete a Mission of each type on Heresy Threat or higher.",Completed,7,7,100%,2026-01-16 02:13:42,5,loc_mission_type_03_name: 4/4; loc_mission_type_04_name: 4/4; loc_mission_type_05_name: 4/4; loc_mission_type_06_name: 4/4; loc_mission_type_07_name: 4/4; loc_mission_type_01_name: 4/4; loc_mission_type_02_name: 4/4,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,missions_veteran_2_medium_difficulty_2,loc_class_progression_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_09,Fight the Good Fight (2),Complete 5 Missions on Uprising Threat or higher.,Completed,30,5,600%,2026-01-05 19:14:41,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,missions_veteran_2_medium_difficulty_4,loc_class_progression_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_09,Fight the Good Fight (4),Complete 5 Missions on Heresy Threat or higher.,Completed,26,5,520%,2026-01-06 13:39:49,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,group_class_veteran_2_3_rework,loc_class_progression_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_12,On Target (3),Complete the following Penances as the Veteran.,In Progress,5,6,83%,,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,group_mission_class_veteran_meta_numeric_achievement_completion_3,loc_class_progression_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement,Veteran Master of War,Complete 25 out of the following Penances.,Completed,38,25,152%,2026-01-09 01:52:07,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,missions_veteran_2_5,loc_class_progression_title,content/ui/textures/icons/achievements/achievement_icon_0012,Through The Mud (5),Complete 100 Missions as a Veteran.,In Progress,31,100,31%,,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,missions_veteran_2_medium_difficulty_3,loc_class_progression_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_09,Fight the Good Fight (3),Complete 5 Missions on Malice Threat or higher.,Completed,27,5,540%,2026-01-06 13:09:26,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,rank_veteran_2_6,loc_class_progression_title,content/ui/textures/icons/achievements/achievement_icon_0011,I Love the Militarum! (6),Reach Trust Level 30 as a Veteran.,Completed,30,30,100%,2026-01-07 17:56:17,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,group_mission_class_veteran_meta_numeric_achievement_completion_2,loc_class_progression_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement,Veteran Master of War,Complete 15 out of the following Penances.,Completed,38,15,253%,2026-01-06 13:09:26,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,group_mission_class_veteran_meta_numeric_achievement_completion_5,loc_class_progression_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement,Veteran Master of War,Complete 45 out of the following Penances.,In Progress,38,45,84%,,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,missions_veteran_2_4,loc_class_progression_title,content/ui/textures/icons/achievements/achievement_icon_0012,Through The Mud (4),Complete 75 Missions as a Veteran.,In Progress,31,75,41%,,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,rank_veteran_2_1,loc_class_progression_title,content/ui/textures/icons/achievements/achievement_icon_0011,I Love the Militarum! (1),Reach Trust Level 5 as a Veteran.,Completed,30,5,600%,2023-11-11 02:49:19,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_lm_scavenge_mission_1_auric,loc_achievement_subcategory_missions_dust_label,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_difficulty_0022,Excise Vault Spireside-13 (1) [AURIC],Complete Excise Vault Spireside-13 on Heresy Threat on the Auric Mission Board.,Completed,1,1,100%,2025-08-13 01:59:52,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_lm_scavenge_mission_2_auric,loc_achievement_subcategory_missions_dust_label,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_difficulty_0022,Excise Vault Spireside-13 (2) [AURIC],Complete Excise Vault Spireside-13 on Damnation Threat on the Auric Mission Board.,Completed,1,1,100%,2025-08-13 01:59:52,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_hm_strain_mission_1_auric,loc_achievement_subcategory_missions_dust_label,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_difficulty_0026,Refinery Delta-17 (1) [AURIC],Complete Refinery Delta-17 on Heresy Threat on the Auric Mission Board.,Completed,1,1,100%,2025-08-05 22:28:23,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_hm_strain_mission_2_auric,loc_achievement_subcategory_missions_dust_label,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_difficulty_0026,Refinery Delta-17 (2) [AURIC],Complete Refinery Delta-17 on Damnation Threat on the Auric Mission Board.,Completed,1,1,100%,2025-08-05 22:28:23,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_dm_propaganda_mission_1_auric,loc_achievement_subcategory_missions_dust_label,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_difficulty_0024,Relay Station TRS-150 (1) [AURIC],Complete Relay Station TRS-150 on Heresy Threat on the Auric Mission Board.,Completed,1,1,100%,2025-09-13 01:30:12,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_dm_propaganda_mission_2_auric,loc_achievement_subcategory_missions_dust_label,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_difficulty_0024,Relay Station TRS-150 (2) [AURIC],Complete Relay Station TRS-150 on Damnation Threat on the Auric Mission Board.,Completed,1,1,100%,2025-09-13 01:30:12,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_lm_scavenge_mission_5,loc_achievement_subcategory_missions_dust_label,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_difficulty_0021,Excise Vault Spireside-13 (5),Complete Excise Vault Spireside-13 on Damnation Threat.,Completed,1,1,100%,2025-08-13 01:59:52,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_hm_strain_mission_5,loc_achievement_subcategory_missions_dust_label,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_difficulty_0025,Refinery Delta-17 (5),Complete Refinery Delta-17 on Damnation Threat.,Completed,1,1,100%,2025-06-29 14:49:49,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_dm_propaganda_mission_5,loc_achievement_subcategory_missions_dust_label,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_difficulty_0023,Relay Station TRS-150 (5),Complete Relay Station TRS-150 on Damnation Threat.,Completed,1,1,100%,2025-09-13 01:30:12,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_lm_scavenge_mission_4,loc_achievement_subcategory_missions_dust_label,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_difficulty_0021,Excise Vault Spireside-13 (4),Complete Excise Vault Spireside-13 on Heresy Threat.,Completed,1,1,100%,2024-05-07 02:32:22,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_hm_strain_mission_4,loc_achievement_subcategory_missions_dust_label,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_difficulty_0025,Refinery Delta-17 (4),Complete Refinery Delta-17 on Heresy Threat.,Completed,1,1,100%,2024-05-26 02:06:21,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_dm_propaganda_mission_4,loc_achievement_subcategory_missions_dust_label,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_difficulty_0023,Relay Station TRS-150 (4),Complete Relay Station TRS-150 on Heresy Threat.,Completed,1,1,100%,2025-01-11 16:18:09,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_lm_scavenge_mission_3,loc_achievement_subcategory_missions_dust_label,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_difficulty_0021,Excise Vault Spireside-13 (3),Complete Excise Vault Spireside-13 on Malice Threat.,Completed,1,1,100%,2024-05-07 02:32:22,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_hm_strain_mission_3,loc_achievement_subcategory_missions_dust_label,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_difficulty_0025,Refinery Delta-17 (3),Complete Refinery Delta-17 on Malice Threat.,Completed,1,1,100%,2024-05-26 02:06:21,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_dm_propaganda_mission_3,loc_achievement_subcategory_missions_dust_label,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_difficulty_0023,Relay Station TRS-150 (3),Complete Relay Station TRS-150 on Malice Threat.,Completed,1,1,100%,2025-01-11 16:18:09,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_hm_strain_mission_2,loc_achievement_subcategory_missions_dust_label,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_difficulty_0025,Refinery Delta-17 (2),Complete Refinery Delta-17 on Uprising Threat.,Completed,1,1,100%,2024-05-26 02:06:21,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_dm_propaganda_mission_2,loc_achievement_subcategory_missions_dust_label,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_difficulty_0023,Relay Station TRS-150 (2),Complete Relay Station TRS-150 on Uprising Threat.,Completed,1,1,100%,2025-01-11 16:18:09,5,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,level_lm_scavenge_mission_1,loc_achievement_subcategory_missions_dust_label,content/ui/textures/icons/achievements/mission_achievements/missions_achievement_difficulty_0021,Excise Vault Spireside-13 (1),Complete Excise Vault Spireside-13 on Sedition Threat.,Completed,1,1,100%,2024-05-07 02:32:22,5,,,,,
