# Darktide Penance Export
# Account: John Darktide
# Account ID: 00000000-0000-0000-0000-000000000000
# Platform: Steam
# Number of Characters: 6
# Account Level: 180
# Account True Level: 837
#
# All Characters:
#   1. Dickot (Zealot) - Level 30 (True: 157, +127)
#   2. Zek (Hive Scum) - Level 30 (True: 113, +83)
#   3. Bonk (Ogryn) - Level 30 (True: 145, +115)
#   4. JudgeSomething (Arbitrator) - Level 30 (True: 121, +91)
#   5. Rudge (Veteran) - Level 30 (True: 164, +134)
#   6. Montov (Psyker) - Level 30 (True: 137, +107)
#
# Export Character: Dickot
# Export Archetype: Zealot
# Export Character Level: 30
# Export Character True Level: 157
# Export Additional Levels: +127
# Export Prestige: 10
#
# Export Date: 2026-01-18 10:39:38
# Total Penances: 1028
# Completed Penances: 1000
# Completion Rate: 97.3%

Export_Account,Export_Platform,Export_Character,Export_Archetype,Export_Mod_Date,Achievement_ID,Category,Icon,Title,Description,Status,Progress,Goal,Progress_Percentage,Completion_Time,Score,Stats_Detail
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,mauler_attack_dodged,loc_achievement_category_heretics_label,content/ui/textures/icons/achievements/achievement_icon_0139,Dance of Death,"Dodge 50 Mauler cleaves.
[Counts only once per Mauler]",Completed,575,50,1150%,2025-07-14 20:43:07,10,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,mutant_charge_dodged,loc_achievement_category_heretics_label,content/ui/textures/icons/achievements/achievement_icon_0135,Quick Feet,"Dodge 50 Mutant charges.
[Counts only once per Mutant]",Completed,3775,50,7550%,2024-07-18 13:16:59,10,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,shotgunner_spread_dodged,loc_achievement_category_heretics_label,content/ui/textures/icons/achievements/achievement_icon_0132,Beat the Spread,"Dodge 50 Shotgun spreads.
[Counts only once per Dreg or Scab Shotgunner]",Completed,8855,50,17710%,2024-05-24 03:16:41,10,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,trappers_net_dodged,loc_achievement_category_heretics_label,content/ui/textures/icons/achievements/achievement_icon_0130,Slip the Net,"Dodge 50 Trapper's nets.
[Counts only once per Trapper]",Completed,1027,50,2054%,2025-06-29 20:48:33,10,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,pox_hounds_pushed_midair,loc_achievement_category_heretics_label,content/ui/textures/icons/achievements/achievement_icon_0129,Get Off Me!,"Push 50 Pox Hounds in midair.
[Counts only once per Pox Hound]",Completed,50,50,100%,2025-06-25 00:42:15,10,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,all_renegade_specials_killed,loc_achievement_category_heretics_label,content/ui/textures/icons/achievements/achievement_icon_0041,Renegade Master,Kill 10 of each Scab Specialist enemy.,Completed,4,4,100%,2022-12-21 00:51:28,10,loc_breed_display_name_renegade_netgunner: 10/10; loc_breed_display_name_renegade_grenadier: 10/10; loc_breed_display_name_renegade_sniper: 10/10; loc_breed_display_name_renegade_flamer: 10/10
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,all_chaos_specials_killed,loc_achievement_category_heretics_label,content/ui/textures/icons/achievements/achievement_icon_0054,Nightmare Patrol,Kill 10 of each type of Terror Specialist.,Completed,2,2,100%,2023-01-04 03:05:41,10,loc_breed_display_name_chaos_hound: 10/10; loc_breed_display_name_chaos_poxwalker_bomber: 10/10
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,all_renegade_elites_killed,loc_achievement_category_heretics_label,content/ui/textures/icons/achievements/achievement_icon_0042,Elitist,Kill 10 of each Scab elite enemy.,Completed,5,5,100%,2022-12-02 01:30:59,10,loc_breed_display_name_renegade_shocktrooper: 10/10; loc_breed_display_name_renegade_gunner: 10/10; loc_breed_display_name_renegade_berzerker: 10/10; loc_breed_display_name_renegade_plasma_gunner: 10/10; loc_breed_display_name_renegade_executor: 10/10
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,all_chaos_elites_killed,loc_achievement_category_heretics_label,content/ui/textures/icons/achievements/achievement_icon_0055,Purification Protocol,Kill 10 Elite Terrors.,Completed,3,3,100%,2023-10-27 01:30:18,10,loc_breed_display_name_chaos_ogryn_bulwark: 10/10; loc_breed_display_name_chaos_ogryn_executor: 10/10; loc_breed_display_name_chaos_ogryn_gunner: 10/10
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,all_cultist_specials_killed,loc_achievement_category_heretics_label,content/ui/textures/icons/achievements/achievement_icon_0048,Lex Triumphant,Kill 10 of each Dreg Specialist.,Completed,3,3,100%,2023-10-11 17:38:55,10,loc_breed_display_name_cultist_grenadier: 10/10; loc_breed_display_name_cultist_flamer: 10/10; loc_breed_display_name_cultist_mutant: 10/10
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,all_cultist_elites_killed,loc_achievement_category_heretics_label,content/ui/textures/icons/achievements/achievement_icon_0049,Lex Vigilant,Kill 10 of each Dreg elite.,Completed,3,3,100%,2022-12-12 01:02:28,10,loc_breed_display_name_cultist_gunner: 10/10; loc_breed_display_name_cultist_shocktrooper: 10/10; loc_breed_display_name_cultist_berzerker: 10/10
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,training_grounds_fully_unlocked,loc_achievement_category_heretics_label,content/ui/textures/icons/achievements/achievement_icon_0120,Ready for Action!,Fully unlock the Training Grounds.,Completed,6,6,100%,2024-04-29 17:54:53,10,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,all_chaos_killed,loc_achievement_category_heretics_label,content/ui/textures/icons/achievements/achievement_icon_0056,Banishment,Kill every type of Terror.,Completed,10,10,100%,2022-12-02 02:18:22,10,loc_breed_display_name_chaos_hound: 1/1; loc_breed_display_name_chaos_lesser_mutated_poxwalker: 1/1; loc_breed_display_name_chaos_mutated_poxwalker: 1/1; loc_breed_display_name_chaos_newly_infected: 1/1; loc_breed_display_name_chaos_ogryn_bulwark: 1/1; loc_breed_display_name_chaos_ogryn_executor: 1/1; loc_breed_display_name_chaos_ogryn_gunner: 1/1; loc_breed_display_name_chaos_poxwalker: 1/1; loc_breed_display_name_chaos_poxwalker_bomber: 1/1; loc_chaos_armored_infected_breed_name: 1/1
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,banish_daemonhost,loc_achievement_category_heretics_label,content/ui/textures/icons/achievements/achievement_icon_0110,Banisher,Banish a Daemonhost.,Completed,1,1,100%,2022-12-14 02:08:30,10,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,all_cultists_killed,loc_achievement_category_heretics_label,content/ui/textures/icons/achievements/achievement_icon_0050,Dreg Cleanser,Kill every type of Dreg.,Completed,8,8,100%,2022-12-02 02:18:22,10,loc_breed_display_name_cultist_assault: 1/1; loc_breed_display_name_cultist_berzerker: 1/1; loc_breed_display_name_cultist_shocktrooper: 1/1; loc_breed_display_name_cultist_flamer: 1/1; loc_breed_display_name_cultist_grenadier: 1/1; loc_breed_display_name_cultist_gunner: 1/1; loc_breed_display_name_cultist_melee: 1/1; loc_breed_display_name_cultist_mutant: 1/1
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,kill_cultists_5,loc_achievement_category_heretics_label,content/ui/textures/icons/achievements/achievement_icon_0051,Dreg Hunter (5),Kill 12500 Dregs.,Completed,90120,12500,720%,2024-04-29 17:54:53,5,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,cultist_berzerker_head,loc_achievement_category_heretics_label,content/ui/textures/icons/achievements/achievement_icon_0052,Decapitation Protocol,Kill 10 Dreg Ragers with Headshots.,Completed,2096,10,20960%,2023-10-29 01:36:39,10,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,group_enemies_cultists,loc_achievement_category_heretics_label,content/ui/textures/icons/achievements/achievement_icon_0107,Purge the Heretics,Complete the following Dreg Penances.,Completed,5,5,100%,2024-04-29 17:54:53,20,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,all_renegades_killed,loc_achievement_category_heretics_label,content/ui/textures/icons/achievements/achievement_icon_0043,Traitorous Collective,Kill every type of Scab enemy.,Completed,12,12,100%,2022-11-30 23:56:01,10,loc_breed_display_name_renegade_grenadier: 1/1; loc_breed_display_name_renegade_gunner: 1/1; loc_breed_display_name_renegade_melee: 1/1; loc_breed_display_name_renegade_netgunner: 1/1; loc_breed_display_name_renegade_plasma_gunner: 1/1; loc_breed_display_name_renegade_rifleman: 1/1; loc_breed_display_name_renegade_shocktrooper: 1/1; loc_breed_display_name_renegade_sniper: 1/1; loc_breed_display_name_renegade_assault: 1/1; loc_breed_display_name_renegade_berzerker: 1/1; loc_breed_display_name_renegade_executor: 1/1; loc_breed_display_name_renegade_flamer: 1/1
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,kill_renegades_5,loc_achievement_category_heretics_label,content/ui/textures/icons/achievements/achievement_icon_0044,Scab Picker (5),Kill 12500 Scabs.,Completed,112151,12500,897%,2024-04-29 17:54:53,5,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,melee_renegade,loc_achievement_category_heretics_label,content/ui/textures/icons/achievements/achievement_icon_0045,Blowout,Kill 10 Bombers with melee attacks.,Completed,668,10,6680%,2022-12-02 02:56:58,10,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,executor_non_headshot,loc_achievement_category_heretics_label,content/ui/textures/icons/achievements/achievement_icon_0046,Hard Labour,Kill 10 Scab Maulers without using Headshots.,Completed,3896,10,38960%,2022-12-01 01:55:12,10,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,group_enemies_renegades,loc_achievement_category_heretics_label,content/ui/textures/icons/achievements/achievement_icon_0047,Cull the Traitors,Complete the following Scab Penances.,Completed,6,6,100%,2024-04-29 17:54:53,20,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,kill_renegades_1,loc_achievement_category_heretics_label,content/ui/textures/icons/achievements/achievement_icon_0044,Scab Picker (1),Kill 500 Scabs.,Completed,112151,500,22430%,2022-12-16 01:33:26,5,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,kill_renegades_2,loc_achievement_category_heretics_label,content/ui/textures/icons/achievements/achievement_icon_0044,Scab Picker (2),Kill 2500 Scabs.,Completed,112151,2500,4486%,2023-11-13 19:49:57,5,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,kill_renegades_3,loc_achievement_category_heretics_label,content/ui/textures/icons/achievements/achievement_icon_0044,Scab Picker (3),Kill 5000 Scabs.,Completed,112151,5000,2243%,2023-12-05 19:37:33,5,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,kill_renegades_4,loc_achievement_category_heretics_label,content/ui/textures/icons/achievements/achievement_icon_0044,Scab Picker (4),Kill 7500 Scabs.,Completed,112151,7500,1495%,2024-01-18 18:57:13,5,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,kill_cultists_1,loc_achievement_category_heretics_label,content/ui/textures/icons/achievements/achievement_icon_0051,Dreg Hunter (1),Kill 500 Dregs.,Completed,90120,500,18024%,2022-12-16 01:49:15,5,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,kill_cultists_4,loc_achievement_category_heretics_label,content/ui/textures/icons/achievements/achievement_icon_0051,Dreg Hunter (4),Kill 7500 Dregs.,Completed,90120,7500,1201%,2024-04-29 17:54:53,5,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,kill_chaos_1,loc_achievement_category_heretics_label,content/ui/textures/icons/achievements/achievement_icon_0057,Purgator (1),Kill 1000 Poxwalkers and other Terrors of the warp.,Completed,305837,1000,30583%,2022-12-02 01:30:59,5,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,kill_chaos_3,loc_achievement_category_heretics_label,content/ui/textures/icons/achievements/achievement_icon_0057,Purgator (3),Kill 7500 Poxwalkers and other Terrors of the warp.,Completed,305837,7500,4077%,2023-11-01 00:52:42,5,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,kill_chaos_4,loc_achievement_category_heretics_label,content/ui/textures/icons/achievements/achievement_icon_0057,Purgator (4),Kill 10000 Poxwalkers and other Terrors of the warp.,Completed,305837,10000,3058%,2023-11-14 16:51:11,5,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,kill_chaos_2,loc_achievement_category_heretics_label,content/ui/textures/icons/achievements/achievement_icon_0057,Purgator (2),Kill 5000 Poxwalkers and other Terrors of the warp.,Completed,305837,5000,6116%,2023-10-13 00:49:42,5,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,kill_cultists_3,loc_achievement_category_heretics_label,content/ui/textures/icons/achievements/achievement_icon_0051,Dreg Hunter (3),Kill 5000 Dregs.,Completed,90120,5000,1802%,2023-12-05 22:03:58,5,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,kill_cultists_2,loc_achievement_category_heretics_label,content/ui/textures/icons/achievements/achievement_icon_0051,Dreg Hunter (2),Kill 2500 Dregs.,Completed,90120,2500,3604%,2023-11-13 04:12:28,5,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,group_enemies_chaos,loc_achievement_category_heretics_label,content/ui/textures/icons/achievements/achievement_icon_0108,Cleanse the Taint,Complete the following Terror Penances.,Completed,5,5,100%,2023-11-30 00:27:57,20,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,ogryn_gunner_melee,loc_achievement_category_heretics_label,content/ui/textures/icons/achievements/achievement_icon_0109,Bullying the Bully,Kill 10 Reapers in melee.,Completed,483,10,4830%,2023-01-15 02:51:24,10,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,kill_chaos_5,loc_achievement_category_heretics_label,content/ui/textures/icons/achievements/achievement_icon_0057,Purgator (5),Kill 15000 Poxwalkers and other Terrors of the warp.,Completed,305837,15000,2038%,2023-11-30 00:27:57,5,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,veteran_2_elite_weakspot_kills_during_volley_fire_alternate_fire,loc_class_abilities_title,content/ui/textures/icons/achievements/achievement_icon_0018,Deadeye,"On Heresy Threat or higher, during a single use of Volley Fire, kill 5 highlighted enemies with Weak Spot hits whilst using a weapon's Secondary Action.",Completed,33,5,660%,2023-11-15 00:46:30,10,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,veteran_2_unbounced_grenade_kills,loc_class_abilities_title,content/ui/textures/icons/achievements/achievement_icon_0014,Long Bomb,Hit 5 enemies with a Frag Grenade without it bouncing.,Completed,0,1,0%,2025-11-15 23:53:38,10,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,veteran_2_weakspot_hits_during_volley_fire_alternate_fire,loc_class_abilities_title,content/ui/textures/icons/achievements/achievement_icon_0015,Marked For Death,"During a single use of Volley Fire, hit enemy Weak Spots 4 times using a weapon's Secondary Action, without missing a shot.",Completed,18,4,450%,2023-11-02 01:26:35,10,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,veteran_2_hard_1,loc_class_abilities_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_07,Find your Targets,"On Heresy Threat or higher, kill 2 Elite or Specialist enemies during a single Volley Fire, 50 times.",Completed,583,50,1166%,2024-05-19 20:09:21,10,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,veteran_2_hard_2,loc_class_abilities_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_08,Be Methodical,"On Heresy Threat or higher, keep Executioner's Stance active for over 20 seconds 5 times.",Completed,31,5,620%,2025-07-11 00:42:51,10,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,veteran_2_medium_1,loc_class_abilities_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_05,Stay Alert,"On Malice Threat or higher, kill 150 enemies that have been marked by Volley Fire or Executioner's Stance.",Completed,3001,150,2000%,2023-12-05 22:38:40,10,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,veteran_2_easy_2,loc_class_abilities_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_04,Resupply Allies,Replenish 5000 total ammunition to allies using Scavenger.,Completed,25336,5000,506%,2024-05-19 20:56:55,10,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,veteran_team_movement_aura_amplified,loc_class_abilities_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_16,Keep it Tight,Move a total of 10000 meters in coherency with your team members while under the effect of Close and Kill.,Completed,9118333,10000,91183%,2024-05-07 00:35:59,10,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,veteran_team_damage_aura_amplified,loc_class_abilities_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_15,Sweep and Clear,Kill 7500 enemies while affected by Fire Team. Kills made by any affected team member also count.,Completed,340776,7500,4543%,2024-05-26 16:54:09,10,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,veteran_weapon_switch_passive_keystone_kills,loc_class_abilities_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_21,Adept Assassin,Kill 250 Specialist or Elites with Critical Weakspot Hits Weapons Specialist is active.,Completed,697,250,278%,2025-10-07 11:59:54,10,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,veteran_kills_with_improved_tag,loc_class_abilities_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_20,Focus Soldier!,Kill 500 enemies tagged by Focus Target!,Completed,4017,500,803%,2024-05-26 02:06:21,10,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,veteran_smoke_grenade_engulfed,loc_class_abilities_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_14,Smoke Screen,Engulf 2000 enemies in smoke using the Smoke Grenade.,Completed,2643,2000,132%,2025-09-30 23:26:44,10,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,veteran_krak_grenade_kills,loc_class_abilities_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_13,Armourbane,Kill 500 armoured enemies using krak grenades.,Completed,1911,500,382%,2025-09-30 21:25:06,10,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,veteran_enemies_killed_with_max_focus_fire,loc_class_abilities_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_19,Killshot Ready,Kill 2500 enemies while at 10 stacks of Marksman's focus or more.,Completed,2872,2500,114%,2025-11-16 01:52:13,10,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,veteran_voice_of_command_toughness_given,loc_class_abilities_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_17,Stand up and Fight!,Restore 7500 Toughness to yourself using Voice of Command.,Completed,76507,7500,1020%,2025-01-11 17:32:32,10,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,veteran_infiltrate_supress,loc_class_abilities_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_18,Unseen Predator,Suppress 750 enemies using Infiltrate.,Completed,2138,750,285%,2025-07-13 14:38:53,10,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,group_veteran_2_rank_1_difficulty_1,loc_class_progression_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_10,First Steps (1),Complete the following Penances as the Veteran.,Completed,2,2,100%,2023-11-01 21:17:50,5,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,group_veteran_2_rank_2_difficulty_2,loc_class_progression_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_10,First Steps (2),Complete the following Penances as the Veteran.,Completed,2,2,100%,2023-11-02 01:28:41,5,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,group_veteran_2_rank_4_difficulty_3,loc_class_progression_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_11,Promotion Material (1),Complete the following Penances as the Veteran.,Completed,2,2,100%,2023-11-11 19:33:52,5,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,group_veteran_2_rank_5_difficulty_4,loc_class_progression_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_11,Promotion Material (2),Complete the following Penances as the Veteran.,Completed,2,2,100%,2023-11-13 19:51:11,5,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,group_class_veteran_2_3,loc_class_progression_title,content/ui/textures/icons/achievements/achievement_icon_0096,For The Emperor (3),Complete the following Penances as the Veteran.,Completed,3,3,100%,2025-11-16 01:17:14,10,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,veteran_2_no_missed_shots_empty_ammo,loc_class_progression_title,content/ui/textures/icons/achievements/achievement_icon_0019,Make Every Shot Count,"Complete a Mission on Heresy Threat or higher with no Ammo remaining, and 90% accuracy.",Completed,94,90,104%,2025-09-13 15:13:11,10,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,veteran_2_no_melee_damage_taken,loc_class_progression_title,content/ui/textures/icons/achievements/achievement_icon_0016,On Overwatch,Complete a full Mission on Malice Threat or higher without taking any melee Damage.,Completed,0,1,0%,2025-11-16 01:17:14,10,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,veteran_2_kills_with_last_round_in_mag,loc_class_progression_title,content/ui/textures/icons/achievements/achievement_icon_0017,One In the Chamber,Kill 8 enemies with the last round in your clip during a single Mission on Malice Threat or higher.,Completed,973,8,12162%,2023-11-02 01:26:35,10,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,group_class_veteran_2_2_rework,loc_class_progression_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_12,On Target (2),Complete the following Penances as the Veteran.,Completed,6,6,100%,2024-05-19 20:56:55,10,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,missions_veteran_2_3,loc_class_progression_title,content/ui/textures/icons/achievements/achievement_icon_0012,Through The Mud (3),Complete 50 Missions as a Veteran.,Completed,196,50,392%,2024-04-29 17:54:53,5,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,group_class_veteran_2_1_rework,loc_class_progression_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_12,On Target (1),Complete the following Penances as the Veteran.,Completed,5,5,100%,2024-05-19 20:56:55,10,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,rank_veteran_2_5,loc_class_progression_title,content/ui/textures/icons/achievements/achievement_icon_0011,I Love the Militarum! (5),Reach Trust Level 25 as a Veteran.,Completed,30,25,120%,2023-11-13 19:51:11,5,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,missions_veteran_2_objective_2,loc_class_progression_title,content/ui/textures/icons/achievements/achievement_icon_0013,Vantage Point (2),"As a Veteran, complete a Mission of each type on Malice Threat or higher.",Completed,7,7,100%,2023-12-05 22:38:40,5,loc_mission_type_02_name: 3/3; loc_mission_type_03_name: 3/3; loc_mission_type_04_name: 3/3; loc_mission_type_05_name: 3/3; loc_mission_type_06_name: 3/3; loc_mission_type_07_name: 3/3; loc_mission_type_01_name: 3/3
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,missions_veteran_2_2,loc_class_progression_title,content/ui/textures/icons/achievements/achievement_icon_0012,Through The Mud (2),Complete 25 Missions as a Veteran.,Completed,196,25,784%,2023-12-12 19:09:55,5,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,veteran_2_medium_2,loc_class_progression_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_06,Fire Down Range,"On Malice Threat or higher, kill 100 enemies that are over 30 meters away.",Completed,839,100,839%,2024-05-19 20:09:21,10,
